uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1502403683.54, 1502403697.19, 1502403697.19, 1502403697.5, 1502403697.5, 1502403697.51, 1502403697.52,1502403701.66, 1502403728.95, 1502403729.05, 1502403729.06, 1502403733.64, 1502403733.74
unit.000001, stage_1, 1502403683.54, 1502403697.41, 1502403697.41, 1502403697.66, 1502403697.67, 1502403697.68, 1502403697.68,1502403701.77, 1502403734.64, 1502403734.76, 1502403734.77, 1502403736.82, 1502403736.92
unit.000002, stage_1, 1502403683.54, 1502403697.61, 1502403697.61, 1502403697.82, 1502403697.83, 1502403697.84, 1502403697.84,1502403701.87, 1502403729.15, 1502403729.2, 1502403729.2, 1502403733.84, 1502403733.94
unit.000003, stage_1, 1502403683.54, 1502403697.82, 1502403697.82, 1502403698.17, 1502403698.2, 1502403698.21, 1502403698.22,1502403701.98, 1502403729.93, 1502403729.95, 1502403729.95, 1502403733.89, 1502403733.99
unit.000004, stage_1, 1502403683.54, 1502403697.97, 1502403697.97, 1502403698.2, 1502403698.21, 1502403698.22, 1502403698.22,1502403702.04, 1502403728.95, 1502403729.07, 1502403729.08, 1502403734.05, 1502403734.15
unit.000005, stage_1, 1502403683.54, 1502403693.3, 1502403693.3, 1502403694.78, 1502403694.78, 1502403695.42, 1502403695.42,1502403699.14, 1502403725.33, 1502403725.36, 1502403725.38, 1502403727.36, 1502403727.46
unit.000006, stage_1, 1502403683.54, 1502403693.5, 1502403693.5, 1502403694.79, 1502403694.8, 1502403695.43, 1502403695.43,1502403699.2, 1502403728.96, 1502403729.08, 1502403729.09, 1502403733.43, 1502403733.54
unit.000007, stage_1, 1502403683.54, 1502403696.75, 1502403696.75, 1502403697.04, 1502403697.05, 1502403697.05, 1502403697.06,1502403701.41, 1502403733.27, 1502403733.28, 1502403733.28, 1502403733.68, 1502403733.78
unit.000008, stage_1, 1502403683.54, 1502403696.99, 1502403696.99, 1502403697.21, 1502403697.22, 1502403697.23, 1502403697.24,1502403701.54, 1502403729.93, 1502403729.94, 1502403729.95, 1502403733.48, 1502403733.58
unit.000009, stage_1, 1502403683.54, 1502403693.7, 1502403693.7, 1502403694.8, 1502403694.81, 1502403695.44, 1502403695.44,1502403699.27, 1502403725.37, 1502403725.42, 1502403725.45, 1502403726.78, 1502403726.89
unit.000010, stage_1, 1502403683.54, 1502403693.72, 1502403693.72, 1502403694.81, 1502403694.82, 1502403695.45, 1502403695.45,1502403699.34, 1502403725.34, 1502403725.38, 1502403725.39, 1502403726.38, 1502403726.48
unit.000011, stage_1, 1502403683.54, 1502403693.92, 1502403693.92, 1502403694.84, 1502403694.85, 1502403695.46, 1502403695.47,1502403699.47, 1502403728.9, 1502403728.97, 1502403728.98, 1502403731.03, 1502403731.13
unit.000012, stage_1, 1502403683.54, 1502403694.11, 1502403694.11, 1502403695.32, 1502403695.33, 1502403695.47, 1502403695.48,1502403699.53, 1502403729.92, 1502403729.93, 1502403729.94, 1502403731.19, 1502403731.3
unit.000013, stage_1, 1502403683.54, 1502403694.31, 1502403694.31, 1502403695.5, 1502403695.51, 1502403695.52, 1502403695.53,1502403699.63, 1502403728.96, 1502403729.1, 1502403729.11, 1502403731.4, 1502403731.5
unit.000014, stage_1, 1502403683.54, 1502403694.32, 1502403694.32, 1502403695.51, 1502403695.52, 1502403695.53, 1502403695.53,1502403699.82, 1502403725.95, 1502403725.96, 1502403725.96, 1502403726.95, 1502403727.05
unit.000015, stage_1, 1502403683.54, 1502403694.52, 1502403694.52, 1502403695.55, 1502403695.56, 1502403695.56, 1502403695.57,1502403700.02, 1502403730.13, 1502403730.13, 1502403730.14, 1502403731.6, 1502403731.7
