uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, stage_1, 1503322358.51, 1503322362.07, 1503322362.07, 1503322402.14, 1503322402.16, 1503322404.39, 1503322404.39,1503322407.65, 1503323538.23, 1503323538.36, 1503323538.36, 1503323540.22, 1503323540.32
unit.000001, stage_1, 1503322358.51, 1503322360.25, 1503322360.25, 1503322401.72, 1503322401.74, 1503322404.23, 1503322404.23,1503322406.85, 1503323538.17, 1503323538.23, 1503323538.25, 1503323539.61, 1503323539.71
unit.000002, stage_1, 1503322358.51, 1503322361.61, 1503322361.61, 1503322402.02, 1503322402.04, 1503322404.34, 1503322404.35,1503322407.43, 1503323544.62, 1503323544.69, 1503323544.7, 1503323546.31, 1503323546.42
unit.000003, stage_1, 1503322358.51, 1503322362.87, 1503322362.87, 1503322402.32, 1503322402.34, 1503322404.46, 1503322404.46,1503322408.01, 1503323538.25, 1503323538.39, 1503323538.4, 1503323540.63, 1503323540.73
unit.000004, stage_1, 1503322358.51, 1503322359.8, 1503322359.8, 1503322401.58, 1503322401.67, 1503322404.18, 1503322404.2,1503322406.71, 1503323544.58, 1503323544.6, 1503323544.63, 1503323545.3, 1503323545.4
unit.000005, stage_1, 1503322358.51, 1503322360.2, 1503322360.2, 1503322401.7, 1503322401.72, 1503322404.22, 1503322404.22,1503322406.81, 1503323538.26, 1503323538.4, 1503323538.41, 1503323540.79, 1503323540.89
unit.000006, stage_1, 1503322358.51, 1503322360.46, 1503322360.46, 1503322401.77, 1503322401.79, 1503322404.24, 1503322404.25,1503322406.94, 1503323538.19, 1503323538.26, 1503323538.28, 1503323539.79, 1503323539.89
unit.000007, stage_1, 1503322358.51, 1503322360.65, 1503322360.65, 1503322401.82, 1503322401.83, 1503322404.26, 1503322404.27,1503322407.03, 1503323538.27, 1503323538.41, 1503323538.42, 1503323540.83, 1503323540.93
unit.000008, stage_1, 1503322358.51, 1503322360.85, 1503322360.85, 1503322401.86, 1503322401.88, 1503322404.28, 1503322404.28,1503322407.11, 1503323544.59, 1503323544.63, 1503323544.64, 1503323545.51, 1503323545.61
unit.000009, stage_1, 1503322358.51, 1503322361.05, 1503322361.05, 1503322401.91, 1503322401.93, 1503322404.3, 1503322404.3,1503322407.21, 1503323538.27, 1503323538.42, 1503323538.43, 1503323540.99, 1503323541.09
unit.000010, stage_1, 1503322358.51, 1503322361.25, 1503322361.25, 1503322401.95, 1503322401.97, 1503322404.31, 1503322404.32,1503322407.3, 1503323538.31, 1503323538.48, 1503323538.48, 1503323541.59, 1503323541.69
unit.000011, stage_1, 1503322358.51, 1503322361.45, 1503322361.45, 1503322402.0, 1503322402.02, 1503322404.33, 1503322404.34,1503322407.38, 1503323538.28, 1503323538.43, 1503323538.44, 1503323541.04, 1503323541.14
unit.000012, stage_1, 1503322358.51, 1503322361.82, 1503322361.82, 1503322402.07, 1503322402.09, 1503322404.36, 1503322404.36,1503322407.51, 1503323544.59, 1503323544.65, 1503323544.65, 1503323545.71, 1503323545.81
unit.000013, stage_1, 1503322358.51, 1503322362.01, 1503322362.01, 1503322402.11, 1503322402.13, 1503322404.38, 1503322404.38,1503322407.6, 1503323538.29, 1503323538.44, 1503323538.45, 1503323541.19, 1503323541.29
unit.000014, stage_1, 1503322358.51, 1503322362.27, 1503322362.27, 1503322402.18, 1503322402.2, 1503322404.4, 1503322404.41,1503322407.74, 1503323538.24, 1503323538.37, 1503323538.37, 1503323540.39, 1503323540.49
unit.000015, stage_1, 1503322358.51, 1503322362.47, 1503322362.47, 1503322402.23, 1503322402.25, 1503322404.42, 1503322404.43,1503322407.83, 1503323538.24, 1503323538.38, 1503323538.38, 1503323540.43, 1503323540.53
unit.000016, stage_1, 1503322358.51, 1503322362.67, 1503322362.67, 1503322402.28, 1503322402.3, 1503322404.44, 1503322404.44,1503322407.91, 1503323538.24, 1503323538.38, 1503323538.39, 1503323540.59, 1503323540.69
unit.000017, stage_1, 1503322358.51, 1503322362.82, 1503322362.82, 1503322402.3, 1503322402.32, 1503322404.45, 1503322404.45,1503322407.96, 1503323538.3, 1503323538.46, 1503323538.46, 1503323541.39, 1503323541.49
unit.000018, stage_1, 1503322358.51, 1503322363.03, 1503322363.03, 1503322402.35, 1503322402.37, 1503322404.47, 1503322404.47,1503322408.05, 1503323544.62, 1503323544.68, 1503323544.69, 1503323546.26, 1503323546.36
unit.000019, stage_1, 1503322358.51, 1503322363.06, 1503322363.06, 1503322402.37, 1503322402.39, 1503322404.47, 1503322404.48,1503322408.1, 1503323544.61, 1503323544.66, 1503323544.66, 1503323545.91, 1503323546.01
unit.000020, stage_1, 1503322358.51, 1503322360.0, 1503322360.0, 1503322401.68, 1503322401.7, 1503322404.21, 1503322404.21,1503322406.77, 1503323538.14, 1503323538.18, 1503323538.21, 1503323539.58, 1503323539.68
unit.000021, stage_1, 1503322358.51, 1503322360.4, 1503322360.4, 1503322401.75, 1503322401.76, 1503322404.23, 1503322404.24,1503322406.9, 1503323538.3, 1503323538.47, 1503323538.47, 1503323541.45, 1503323541.55
